Image,Coordonnees
image_421.png,"(39, 71, 173, 126)"
image_422.png,"(167, 44, 229, 50)"
image_423.png,"(24, 213, 51, 233)"
image_424.png,"(112, 140, 187, 154)"
image_425.png,"(0, 0, 0, 0)"
image_426.png,"(76, 242, 141, 294)"
image_427.png,"(174, 388, 310, 468)"
image_428.png,"(303, 255, 443, 311)"
image_429.png,"(0, 0, 0, 0)"
image_430.png,"(239, 158, 295, 166)"
image_431.png,"(217, 270, 275, 327)"
image_432.png,"(184, 58, 373, 221)"
image_433.png,"(277, 344, 318, 456)"
image_434.png,"(400, 102, 491, 183)"
image_435.png,"(188, 380, 217, 473)"
image_436.png,"(284, 78, 449, 114)"
image_437.png,"(103, 372, 258, 436)"
image_438.png,"(350, 330, 468, 476)"
image_439.png,"(214, 148, 299, 296)"
image_440.png,"(108, 164, 222, 321)"
image_441.png,"(372, 295, 452, 423)"
image_442.png,"(291, 259, 416, 283)"
image_443.png,"(231, 320, 373, 466)"
image_444.png,"(79, 79, 124, 153)"
image_445.png,"(14, 50, 137, 126)"
image_446.png,"(267, 77, 414, 226)"
image_447.png,"(24, 70, 74, 75)"
image_448.png,"(235, 369, 320, 488)"
image_449.png,"(385, 366, 445, 395)"
image_450.png,"(268, 28, 415, 58)"
image_451.png,"(68, 390, 116, 527)"
image_452.png,"(218, 288, 391, 562)"
image_453.png,"(225, 296, 370, 554)"
image_454.png,"(119, 50, 177, 76)"
image_455.png,"(20, 300, 115, 449)"
image_456.png,"(262, 306, 355, 465)"
image_457.png,"(293, 162, 354, 212)"
image_458.png,"(221, 217, 288, 283)"
image_459.png,"(259, 324, 347, 452)"
image_460.png,"(318, 23, 374, 60)"
image_461.png,"(276, 293, 341, 326)"
image_462.png,"(388, 18, 500, 51)"
image_463.png,"(272, 294, 359, 362)"
image_464.png,"(0, 0, 0, 0)"
image_465.png,"(337, 41, 433, 57)"
image_466.png,"(313, 288, 421, 419)"
image_467.png,"(0, 0, 0, 0)"
image_468.png,"(99, 216, 158, 297)"
image_469.png,"(0, 29, 57, 227)"
image_470.png,"(50, 317, 143, 327)"
image_471.png,"(271, 132, 339, 198)"
image_472.png,"(397, 184, 447, 220)"
image_473.png,"(181, 146, 215, 163)"
image_474.png,"(142, 150, 260, 384)"
image_475.png,"(255, 382, 364, 433)"
image_476.png,"(171, 294, 330, 438)"
image_477.png,"(100, 244, 148, 319)"
image_478.png,"(228, 113, 274, 175)"
image_479.png,"(207, 44, 298, 109)"
image_480.png,"(159, 199, 245, 225)"
image_481.png,"(23, 386, 81, 498)"
image_482.png,"(245, 106, 334, 161)"
image_483.png,"(46, 331, 184, 544)"
image_484.png,"(59, 385, 238, 403)"
image_485.png,"(24, 52, 78, 95)"
image_486.png,"(389, 353, 460, 390)"
image_487.png,"(263, 220, 326, 283)"
image_488.png,"(249, 217, 417, 271)"
image_489.png,"(0, 0, 0, 0)"
image_490.png,"(211, 298, 329, 453)"
image_491.png,"(64, 6, 129, 167)"
image_492.png,"(378, 165, 422, 260)"
image_493.png,"(167, 356, 295, 483)"
image_494.png,"(159, 231, 216, 302)"
image_495.png,"(1, 274, 97, 343)"
image_496.png,"(156, 368, 308, 542)"
image_497.png,"(237, 19, 418, 198)"
image_498.png,"(257, 374, 306, 492)"
image_499.png,"(157, 237, 230, 298)"
image_500.png,"(226, 53, 400, 253)"
image_501.png,"(107, 23, 159, 49)"
image_502.png,"(236, 198, 322, 358)"
image_503.png,"(145, 225, 315, 267)"
image_504.png,"(49, 242, 111, 250)"
image_505.png,"(261, 148, 379, 276)"
image_506.png,"(346, 142, 391, 167)"
image_507.png,"(321, 291, 489, 398)"
image_508.png,"(209, 329, 374, 419)"
image_509.png,"(223, 382, 329, 427)"
image_510.png,"(334, 100, 384, 189)"
image_511.png,"(0, 0, 0, 0)"
image_512.png,"(240, 93, 295, 183)"
image_513.png,"(275, 396, 384, 505)"
image_514.png,"(342, 172, 430, 311)"
image_515.png,"(233, 214, 332, 344)"
image_516.png,"(354, 60, 490, 260)"
image_517.png,"(0, 0, 0, 0)"
image_518.png,"(187, 378, 331, 544)"
image_519.png,"(218, 356, 303, 477)"
image_520.png,"(0, 0, 0, 0)"
image_521.png,"(371, 64, 500, 119)"
image_522.png,"(327, 109, 419, 165)"
image_523.png,"(354, 183, 442, 238)"
image_524.png,"(205, 196, 339, 331)"
image_525.png,"(0, 0, 0, 0)"
image_526.png,"(0, 0, 0, 0)"
image_527.png,"(152, 26, 203, 103)"
image_528.png,"(53, 240, 197, 530)"
image_529.png,"(0, 0, 0, 0)"
image_530.png,"(328, 397, 420, 421)"
image_531.png,"(282, 202, 442, 252)"
image_532.png,"(38, 276, 142, 381)"
image_533.png,"(2, 128, 37, 195)"
image_534.png,"(88, 358, 157, 495)"
image_535.png,"(334, 167, 423, 184)"
image_536.png,"(0, 0, 0, 0)"
image_537.png,"(183, 381, 372, 530)"
image_538.png,"(103, 44, 128, 125)"
image_539.png,"(50, 395, 230, 461)"
image_540.png,"(187, 321, 266, 377)"
image_541.png,"(243, 26, 397, 68)"
image_542.png,"(349, 99, 422, 125)"
image_543.png,"(3, 166, 97, 294)"
image_544.png,"(38, 270, 111, 299)"
image_545.png,"(241, 267, 296, 348)"
image_546.png,"(345, 174, 500, 488)"
image_547.png,"(216, 130, 264, 168)"
image_548.png,"(384, 245, 500, 306)"
image_549.png,"(4, 37, 171, 76)"
image_550.png,"(385, 112, 500, 270)"
image_551.png,"(43, 74, 83, 193)"
image_552.png,"(90, 323, 240, 457)"
image_553.png,"(62, 237, 131, 282)"
image_554.png,"(0, 0, 0, 0)"
image_555.png,"(385, 126, 441, 231)"
image_556.png,"(228, 348, 317, 443)"
image_557.png,"(1, 389, 51, 551)"
image_558.png,"(289, 210, 352, 294)"
image_559.png,"(306, 179, 443, 210)"
image_560.png,"(128, 378, 241, 525)"
image_561.png,"(46, 47, 131, 142)"
image_562.png,"(292, 22, 339, 38)"
image_563.png,"(222, 51, 325, 243)"
image_564.png,"(0, 0, 0, 0)"
image_565.png,"(289, 238, 357, 400)"
image_566.png,"(173, 94, 284, 168)"
image_567.png,"(270, 306, 349, 529)"
image_568.png,"(244, 235, 400, 443)"
image_569.png,"(284, 41, 338, 111)"
image_570.png,"(371, 243, 465, 335)"
image_571.png,"(342, 69, 421, 166)"
image_572.png,"(166, 57, 197, 102)"
image_573.png,"(92, 37, 252, 131)"
image_574.png,"(394, 215, 500, 486)"
image_575.png,"(0, 386, 79, 407)"
image_576.png,"(271, 290, 343, 374)"
image_577.png,"(41, 275, 190, 433)"
image_578.png,"(358, 390, 500, 603)"
image_579.png,"(259, 391, 366, 445)"
image_580.png,"(190, 282, 266, 399)"
image_581.png,"(313, 331, 460, 412)"
image_582.png,"(250, 395, 284, 497)"
image_583.png,"(24, 55, 93, 143)"
image_584.png,"(0, 373, 134, 418)"
image_585.png,"(319, 23, 360, 66)"
image_586.png,"(280, 368, 356, 381)"
image_587.png,"(397, 347, 446, 423)"
image_588.png,"(47, 227, 136, 284)"
image_589.png,"(0, 0, 0, 0)"
image_590.png,"(210, 311, 307, 376)"
image_591.png,"(391, 292, 500, 470)"
image_592.png,"(76, 287, 143, 316)"
image_593.png,"(128, 82, 218, 145)"
image_594.png,"(322, 242, 370, 333)"
image_595.png,"(170, 36, 252, 214)"
image_596.png,"(199, 171, 288, 255)"
image_597.png,"(103, 379, 183, 512)"
image_598.png,"(376, 101, 437, 281)"
image_599.png,"(163, 36, 241, 100)"
image_600.png,"(174, 125, 262, 207)"
image_601.png,"(104, 355, 215, 430)"
image_602.png,"(64, 389, 124, 428)"
image_603.png,"(311, 350, 400, 440)"
image_604.png,"(322, 250, 360, 350)"
image_605.png,"(97, 1, 187, 20)"
image_606.png,"(37, 297, 85, 378)"
image_607.png,"(106, 295, 223, 369)"
image_608.png,"(133, 284, 195, 351)"
image_609.png,"(361, 341, 450, 356)"
image_610.png,"(377, 122, 500, 253)"
image_611.png,"(325, 367, 394, 423)"
image_612.png,"(245, 259, 328, 339)"
image_613.png,"(235, 303, 360, 333)"
image_614.png,"(49, 36, 271, 68)"
image_615.png,"(0, 0, 0, 0)"
image_616.png,"(302, 245, 420, 497)"
image_617.png,"(305, 281, 372, 388)"
image_618.png,"(9, 271, 114, 376)"
image_619.png,"(115, 42, 174, 81)"
image_620.png,"(0, 328, 66, 388)"
image_621.png,"(142, 227, 263, 343)"
image_622.png,"(188, 197, 328, 283)"
image_623.png,"(234, 353, 299, 400)"
image_624.png,"(392, 319, 479, 359)"
image_625.png,"(243, 297, 271, 347)"
image_626.png,"(282, 44, 331, 83)"
image_627.png,"(247, 237, 425, 481)"
image_628.png,"(21, 37, 69, 110)"
image_629.png,"(10, 129, 61, 297)"
image_630.png,"(141, 354, 204, 394)"
image_631.png,"(160, 303, 312, 391)"
image_632.png,"(301, 284, 333, 353)"
image_633.png,"(135, 161, 218, 173)"
image_634.png,"(102, 102, 256, 286)"
image_635.png,"(35, 14, 100, 30)"
image_636.png,"(79, 158, 160, 292)"
image_637.png,"(0, 0, 0, 0)"
image_638.png,"(136, 384, 198, 437)"
image_639.png,"(11, 293, 66, 377)"
image_640.png,"(0, 0, 0, 0)"
image_641.png,"(152, 249, 310, 342)"
image_642.png,"(8, 255, 76, 280)"
image_643.png,"(72, 13, 153, 49)"
image_644.png,"(318, 182, 426, 263)"
image_645.png,"(260, 75, 342, 260)"
image_646.png,"(34, 157, 157, 221)"
image_647.png,"(175, 352, 293, 444)"
image_648.png,"(0, 0, 0, 0)"
image_649.png,"(325, 136, 450, 330)"
image_650.png,"(357, 74, 464, 260)"
image_651.png,"(390, 268, 500, 455)"
image_652.png,"(164, 239, 224, 377)"
image_653.png,"(144, 175, 193, 302)"
image_654.png,"(109, 267, 133, 300)"
image_655.png,"(46, 23, 215, 165)"
image_656.png,"(334, 400, 375, 410)"
image_657.png,"(254, 162, 313, 188)"
image_658.png,"(0, 0, 0, 0)"
image_659.png,"(54, 15, 186, 136)"
image_660.png,"(175, 392, 214, 483)"
image_661.png,"(44, 169, 80, 175)"
image_662.png,"(325, 21, 459, 57)"
image_663.png,"(288, 17, 375, 56)"
image_664.png,"(348, 384, 394, 469)"
image_665.png,"(231, 114, 272, 147)"
